year,month,day,U,匿名,C,author_total,信報網,星島日報網,香港經濟日報網,香港經濟日報(即時新聞),東方報業集團,新城廣播有限公司,香港01,雅虎(香港),巴士的報,頭條日報網,星島頭條網,HKExnews 披露易,新浪網(香港),Line Today,經濟通,中國評論新聞網,阿思達克財經網,Facebook香港,Instagram香港,YouTube 香港,publisher_total,keywords_total,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2
2020,2,20,10,0,0,10,1,1,0,1,0,0,0,2,1,2,1,0,0,1,0,0,0,0,0,0,10,21,yellow,10,warning,10,Observatory,10
2020,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,3,19,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,rain,1,warning,1,yellow,1
2020,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,5,14,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,warning,1,pm,1,yellow,1
2020,5,21,16,0,1,17,0,0,0,0,0,2,3,3,0,1,0,0,7,0,0,0,0,1,0,0,17,41,Observatory,15,warning,15,yellow,13
2020,5,28,35,0,30,65,4,0,0,0,0,21,4,2,1,2,0,0,0,0,0,1,0,29,1,0,65,100,warning,64,rain,47,heavy,43
2020,6,4,16,0,12,28,0,0,0,1,0,3,8,0,3,0,0,0,0,1,0,0,0,12,0,0,28,67,warning,27,rain,22,heavy,21
2020,6,11,59,0,26,85,2,3,1,1,0,14,6,10,5,7,0,0,10,0,0,0,0,24,2,0,85,132,warning,83,rainstorm,55,rain,42
2020,6,18,82,0,86,168,3,5,9,12,2,9,13,8,3,6,1,0,8,0,0,3,0,80,5,1,168,249,Observatory,100,No,91,wind,75
2020,6,25,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,17,warning,2,Beijing,1,50,1
2020,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
