year,month,day,U,匿名,C,author_total,信報網,星島日報網,香港經濟日報網,香港經濟日報(即時新聞),東方報業集團,新城廣播有限公司,香港01,雅虎(香港),巴士的報,頭條日報網,星島頭條網,HKExnews 披露易,新浪網(香港),Line Today,經濟通,中國評論新聞網,阿思達克財經網,Facebook香港,Instagram香港,YouTube 香港,publisher_total,keywords_total,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2
2020,1,9,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,18,Report,4,Release,4,Time,4
2020,1,16,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,19,2020,5,Report,5,Release,5
2020,1,23,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,28,Release,9,Time,9,2020,9
2020,1,30,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,17,Release,3,Time,3,2020,3
2020,2,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,13,Release,2,Time,2,2020,2
2020,2,13,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,14,Release,3,Time,3,02,3
2020,2,20,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,16,Release,3,Time,3,02,3
2020,2,27,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,17,Report,3,Release,3,Time,3
2020,3,5,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,23,Release,8,Time,8,2020,8
2020,3,12,17,0,0,17,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,17,40,2020,17,Release,16,Time,16
2020,3,19,51,0,0,51,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,51,59,Release,51,Time,51,03,51
2020,3,26,51,0,0,51,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,51,55,Release,51,Time,51,03,51
2020,4,2,97,0,0,97,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,97,75,Release,97,Time,97,2020,97
2020,4,9,76,0,0,76,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,76,61,Release,76,Time,76,04,76
2020,4,16,131,0,0,131,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,131,82,Release,131,Time,131,04,131
2020,4,23,384,0,0,384,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,384,135,Release,384,Time,384,04,384
2020,4,30,536,0,0,536,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,536,133,Release,536,Time,536,04,536
2020,5,7,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,31,Release,14,Time,14,05,14
2020,5,14,96,0,0,96,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,96,70,Release,96,Time,96,05,96
2020,5,21,78,0,0,78,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,78,63,Release,78,Time,78,05,78
2020,5,28,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,25,51,Release,22,Time,22,05,22
