year,month,day,U,匿名,C,author_total,信報網,星島日報網,香港經濟日報網,香港經濟日報(即時新聞),東方報業集團,新城廣播有限公司,香港01,雅虎(香港),巴士的報,頭條日報網,星島頭條網,HKExnews 披露易,新浪網(香港),Line Today,經濟通,中國評論新聞網,阿思達克財經網,Facebook香港,Instagram香港,YouTube 香港,publisher_total,keywords_total,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2
2020,1,10,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,18,Singapore,2,Xiaomi,2,Group,2
2020,1,17,10,0,0,10,3,0,1,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10,52,will,7,Ant,5,conference,5
2020,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,2,28,10,1,0,11,1,1,1,1,0,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,11,48,Kong,11,green,8,Chen,5
2020,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,3,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,financial,1,research,1,Research,1
2020,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,3,27,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,10,25,financial,10,promote,7,Shenzhen,7
2020,4,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,18,Investment,1,TVB,1,ESG,1
2020,4,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,Report,1,Information,1,Annual,1
2020,4,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,Release,1,Time,1,04,1
2020,4,24,7,0,5,12,0,0,0,1,0,3,0,0,0,0,0,2,1,0,0,0,0,4,0,1,12,47,Kong,9,Xu,7,Zhengyu,7
2020,5,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,18,CSR,1,Gold,1,won,1
2020,5,8,11,0,1,12,0,0,1,3,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,32,green,9,Kong,7,financial,7
2020,5,15,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,4,20,Kong,4,Bureau,3,ESG,3
2020,5,22,19,0,2,21,0,0,0,1,0,2,0,1,1,0,0,0,1,0,0,5,8,2,0,0,21,57,Kong,17,China,10,Jun,10
2020,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,6,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,any,1,eight,1,hot,1
2020,6,12,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,US,2,Sino,2,tea,2
2020,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,6,26,10,0,0,10,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,10,47,will,7,Kong,6,financial,5
2020,7,3,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,17,Kong,3,sustainable,3,financial,3
2020,7,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,climate,1,change,1,test,1
2020,7,17,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,16,market,2,Kong,2,ESG,1
2020,7,24,40,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3,0,0,43,61,Ant,41,billion,26,Group,24
2020,7,31,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,34,Kong,3,stocks,1,old,1
2020,8,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,27,fired,1,withdrawal,1,Taiwan,1
2020,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,8,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,Shenzhen,1,financial,1,pilot,1
2020,8,28,10,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,1,0,0,0,10,24,financial,10,green,6,China,6
2020,9,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,Green,1,Bond,1,first,1
2020,9,11,14,0,4,18,0,0,1,1,0,0,0,0,0,0,0,2,6,0,4,0,0,3,1,0,18,41,Kong,16,Green,16,Guangdong,15
2020,9,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,09,1,2020,1,Release,1
