year,month,day,U,匿名,C,author_total,信報網,星島日報網,香港經濟日報網,香港經濟日報(即時新聞),東方報業集團,新城廣播有限公司,香港01,雅虎(香港),巴士的報,頭條日報網,星島頭條網,HKExnews 披露易,新浪網(香港),Line Today,經濟通,中國評論新聞網,阿思達克財經網,Facebook香港,Instagram香港,YouTube 香港,publisher_total,keywords_total,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2
2020,1,9,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,23,Release,6,Time,6,2020,6
2020,1,16,9,0,0,9,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,9,37,Release,5,Time,5,2020,5
2020,1,23,6,0,0,6,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,27,2020,6,Release,5,Time,5
2020,1,30,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,5,23,people,3,rainfall,3,Sing,3
2020,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,2,27,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,18,Release,4,Time,4,02,4
2020,3,5,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,27,Release,4,Time,4,2020,4
2020,3,12,16,0,0,16,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,16,37,Release,15,Time,15,03,15
2020,3,19,36,0,0,36,1,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,36,54,Release,34,Time,34,03,34
2020,3,26,47,0,0,47,2,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,47,55,Release,45,Time,45,03,45
2020,4,2,93,0,0,93,5,0,0,0,0,0,0,0,0,1,0,87,0,0,0,0,0,0,0,0,93,97,Release,87,Time,87,2020,86
2020,4,9,82,0,0,82,4,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,82,77,Release,77,Time,77,04,77
2020,4,16,114,0,0,114,5,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,114,80,Release,109,Time,109,04,109
2020,4,23,331,0,1,332,2,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,1,0,0,332,92,Release,329,Time,329,04,329
2020,4,30,520,0,0,520,6,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,520,92,Release,514,Time,514,04,514
2020,5,7,17,0,0,17,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,17,35,Release,16,Time,16,05,16
2020,5,14,88,0,3,91,3,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,3,0,0,91,94,Release,85,Time,85,05,85
2020,5,21,68,0,2,70,3,0,0,0,0,0,0,0,0,0,0,64,0,0,1,0,0,2,0,0,70,93,Release,64,Time,64,05,64
2020,5,28,42,0,2,44,4,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,2,0,0,44,77,Release,38,Time,38,05,38
2020,6,4,43,0,0,43,6,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,43,69,Release,33,Time,33,2020,32
2020,6,11,26,0,3,29,3,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,3,0,0,29,75,2020,25,Release,23,Time,23
2020,6,18,27,0,4,31,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,3,1,0,31,58,Release,26,Time,26,06,26
2020,6,25,42,0,4,46,9,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,4,0,0,46,101,2020,34,Release,33,Time,33
2020,7,2,70,0,6,76,3,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,6,0,0,76,91,Release,67,Time,67,2020,67
2020,7,9,47,0,8,55,3,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,8,0,0,55,72,07,44,Release,44,Time,44
2020,7,16,76,0,8,84,2,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,7,0,1,84,113,2020,74,Release,74,Time,74
2020,7,23,143,0,5,148,7,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,5,0,0,148,108,Release,136,Time,136,07,136
2020,7,30,162,0,4,166,1,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,4,0,0,166,89,Release,161,Time,161,07,161
