year,month,day,U,匿名,C,author_total,信報網,星島日報網,香港經濟日報網,香港經濟日報(即時新聞),東方報業集團,新城廣播有限公司,香港01,雅虎(香港),巴士的報,頭條日報網,星島頭條網,HKExnews 披露易,新浪網(香港),Line Today,經濟通,中國評論新聞網,阿思達克財經網,Facebook香港,Instagram香港,YouTube 香港,publisher_total,keywords_total,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2
2020,1,9,20,0,0,20,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11,0,0,0,0,20,88,development,9,sustainable,6,BRICS,5
2020,1,16,27,0,0,27,1,0,8,2,0,0,0,1,0,2,0,0,0,1,4,5,3,0,0,0,27,74,ESG,20,market,11,will,9
2020,1,23,9,0,0,9,2,0,1,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,9,49,will,5,MSCI,4,ESG,4
2020,1,30,15,0,0,15,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,8,0,0,0,15,36,ESG,13,global,11,factors,10
2020,2,6,8,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,8,32,may,6,will,6,also,5
2020,2,13,12,0,0,12,0,0,1,1,0,0,1,2,0,0,0,0,0,0,7,0,0,0,0,0,12,44,sustainable,8,ESG,6,green,5
2020,2,20,16,0,0,16,5,0,1,2,1,0,0,1,0,0,0,0,0,1,3,0,2,0,0,0,16,69,more,6,ESG,5,SoftBank,5
2020,2,27,11,0,0,11,3,1,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,11,64,Kong,6,will,4,government,3
2020,3,5,15,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,6,0,8,0,0,0,0,0,15,52,infrastructure,8,yuan,6,will,5
2020,3,12,27,0,0,27,2,0,1,0,0,3,1,1,0,2,0,0,6,2,0,0,9,0,0,0,27,68,green,16,Kong,16,deposit,15
2020,3,19,22,0,0,22,2,0,3,1,0,0,0,0,0,0,0,0,2,1,2,0,11,0,0,0,22,34,year,16,yuan,16,billion,16
2020,3,26,6,0,3,9,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,3,0,0,9,51,new,5,infrastructure,5,will,4
2020,4,2,14,0,0,14,0,0,1,1,0,0,0,3,0,0,0,0,0,0,2,3,4,0,0,0,14,76,new,5,financial,4,oil,4
2020,4,9,9,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,1,0,0,10,41,also,5,development,4,demonstration,3
2020,4,16,9,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,0,11,34,market,8,will,8,water,6
2020,4,23,8,0,10,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,7,0,3,18,80,Investment,9,ESG,8,School,6
2020,4,30,9,0,4,13,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2,0,2,13,56,China,7,Investment,4,School,4
2020,5,7,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,32,ESG,2,more,2,Kong,2
2020,5,14,16,0,3,19,3,0,0,0,0,0,1,1,0,0,0,0,5,0,6,0,0,3,0,0,19,78,will,8,development,7,company,7
2020,5,21,30,0,5,35,0,0,1,2,0,0,0,3,2,1,0,0,4,0,14,3,0,5,0,0,35,73,Kong,23,financial,21,Macao,18
2020,5,28,13,0,3,16,6,0,1,1,0,0,0,1,0,0,0,0,2,0,2,0,0,3,0,0,16,81,ESG,5,Li,5,committee,5
2020,6,4,6,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,2,0,0,8,41,infrastructure,5,new,5,traditional,3
2020,6,11,16,0,2,18,0,2,2,1,0,0,0,0,1,1,0,0,7,0,2,0,0,2,0,0,18,50,fund,12,Fund,12,will,11
2020,6,18,15,0,3,18,2,0,1,0,1,0,0,1,0,0,0,0,6,0,4,0,0,3,0,0,18,93,ESG,8,investors,5,also,5
2020,6,25,27,0,3,30,4,0,3,3,1,0,0,1,0,2,0,0,9,0,1,0,3,3,0,0,30,100,billion,12,will,11,China,10
2020,7,2,6,0,3,9,0,0,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,9,56,more,4,Kong,4,ESG,3
2020,7,9,15,0,4,19,2,1,1,0,0,0,1,2,1,3,1,0,0,0,2,1,0,4,0,0,19,108,ESG,11,Kong,7,more,7
2020,7,16,14,0,4,18,1,1,3,2,0,0,1,0,0,1,0,0,0,0,0,0,5,4,0,0,18,84,Kong,10,also,7,more,6
2020,7,23,31,0,11,42,4,0,2,2,0,0,0,0,1,2,0,0,6,0,10,4,0,9,0,2,42,165,two,12,implementation,12,market,11
