year,month,day,U,匿名,C,author_total,信報網,星島日報網,香港經濟日報網,香港經濟日報(即時新聞),東方報業集團,新城廣播有限公司,香港01,雅虎(香港),巴士的報,頭條日報網,星島頭條網,HKExnews 披露易,新浪網(香港),Line Today,經濟通,中國評論新聞網,阿思達克財經網,Facebook香港,Instagram香港,YouTube 香港,publisher_total,keywords_total,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2
2020,1,14,22,0,0,22,1,0,4,2,1,0,0,0,0,0,0,0,0,0,1,5,8,0,0,0,22,66,investment,10,MSCI,10,fixed,9
2020,1,21,29,0,0,29,3,1,4,2,0,0,1,3,0,1,0,0,0,1,5,0,8,0,0,0,29,77,Kong,23,market,13,financial,12
2020,1,28,18,0,0,18,2,1,1,1,0,0,0,0,0,1,0,0,0,1,3,0,8,0,0,0,18,46,investment,17,MSCI,13,factors,12
2020,2,4,6,0,0,6,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,38,companies,4,environment,3,investors,3
2020,2,11,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5,18,Asian,3,infrastructure,3,Investment,3
2020,2,18,14,0,0,14,3,0,3,2,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,14,56,investment,8,development,8,will,6
2020,2,25,4,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,25,funds,3,Kong,2,fund,2
2020,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,3,10,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,new,1,Stock,1,Exchange,1
2020,3,17,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,17,investors,2,Kong,1,investment,1
2020,3,24,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,18,tobacco,1,company,1,investment,1
2020,3,31,9,0,4,13,2,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,13,84,Social,4,companies,4,Kong,4
2020,4,7,3,0,4,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,7,57,also,2,Report,2,investing,2
2020,4,14,7,0,3,10,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,3,0,0,10,72,Information,3,investment,2,Investment,2
2020,4,21,6,0,11,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,17,100,investment,6,market,5,rating,4
2020,4,28,2,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,14,77,company,5,investment,4,about,3
2020,5,5,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,5,39,new,2,Northern,1,Trust,1
2020,5,12,3,0,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,9,71,Kong,3,investment,3,Investment,2
2020,5,19,12,0,8,20,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,0,1,8,0,0,20,106,sustainable,8,funds,7,Kong,7
2020,5,26,7,0,7,14,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,7,0,0,14,88,investment,5,companies,4,China,4
2020,6,2,5,0,5,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,10,74,also,4,will,3,environmental,3
2020,6,9,6,0,6,12,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,6,0,0,12,85,will,4,investors,4,-#,3
2020,6,16,4,0,5,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,9,64,investment,4,investors,4,more,3
2020,6,23,9,0,7,16,2,0,0,0,0,0,0,2,0,0,0,1,2,0,2,0,0,6,1,0,16,101,investment,7,also,4,Fund,3
2020,6,30,14,0,4,18,2,0,0,0,1,0,0,1,0,0,0,1,0,0,6,0,3,4,0,0,18,75,governance,8,company,7,factors,7
