year,month,day,U,匿名,C,author_total,信報網,星島日報網,香港經濟日報網,香港經濟日報(即時新聞),東方報業集團,新城廣播有限公司,香港01,雅虎(香港),巴士的報,頭條日報網,星島頭條網,HKExnews 披露易,新浪網(香港),Line Today,經濟通,中國評論新聞網,阿思達克財經網,Facebook香港,Instagram香港,YouTube 香港,publisher_total,keywords_total,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2
2020,1,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,13,Report,2,Release,2,Time,2
2020,1,16,9,0,0,9,0,0,1,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,9,36,Kong,5,Report,4,Release,4
2020,1,23,17,0,0,17,0,0,0,0,0,0,1,1,1,0,0,9,0,0,0,0,5,0,0,0,17,49,Release,9,Time,9,2020,9
2020,1,30,12,0,0,12,2,0,0,0,0,0,1,2,1,0,0,3,0,1,0,0,2,0,0,0,12,38,Kong,9,Exchange,9,market,9
2020,2,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,13,Release,2,Time,2,2020,2
2020,2,13,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,14,Release,3,Time,3,02,3
2020,2,20,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,25,Release,3,Time,3,02,3
2020,2,27,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,5,18,Kong,4,performance,4,will,4
2020,3,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,20,2020,5,Release,5,Time,5
2020,3,12,16,0,0,16,1,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,16,46,Release,13,Time,13,03,13
2020,3,19,53,0,0,53,0,0,1,1,1,0,1,1,0,0,0,44,0,1,0,0,3,0,0,0,53,76,Release,44,Time,44,03,44
2020,3,26,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,35,47,Release,35,Time,35,03,35
2020,4,2,62,0,0,62,0,0,2,1,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,62,81,Release,59,Time,59,2020,59
2020,4,9,45,0,0,45,0,0,0,0,0,0,0,2,0,0,0,42,0,1,0,0,0,0,0,0,45,58,Release,42,Time,42,04,42
2020,4,16,95,0,0,95,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,95,76,Release,95,Time,95,04,95
2020,4,23,279,0,0,279,1,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,279,139,Release,278,Time,278,04,278
