year,month,day,U,匿名,C,author_total,信報網,星島日報網,香港經濟日報網,香港經濟日報(即時新聞),東方報業集團,新城廣播有限公司,香港01,雅虎(香港),巴士的報,頭條日報網,星島頭條網,HKExnews 披露易,新浪網(香港),Line Today,經濟通,中國評論新聞網,阿思達克財經網,Facebook香港,Instagram香港,YouTube 香港,publisher_total,keywords_total,correlation_keyword0,correlation_value0,correlation_keyword1,correlation_value1,correlation_keyword2,correlation_value2
2020,1,10,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,25,market,2,Kong,2,food,1
2020,1,17,6,0,0,6,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,market,5,investment,4,performance,4
2020,1,24,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,market,1,points,1,stocks,1
2020,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0
2020,2,7,6,0,0,6,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,will,5,gas,4,China,4
2020,2,14,9,0,0,9,0,0,0,0,0,0,0,5,0,1,0,0,2,0,1,0,0,0,0,0,9,47,stocks,4,new,4,market,3
2020,2,21,7,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,7,24,will,6,also,6,market,5
2020,2,28,4,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,26,stocks,3,cases,2,SZ,2
2020,3,6,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,epidemic,2,will,2,but,2
2020,3,13,5,0,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,33,stocks,2,Kong,2,shares,2
2020,3,20,10,0,0,10,2,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,36,market,8,US,8,stocks,5
2020,3,27,3,0,4,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,7,47,market,7,will,2,US,2
2020,4,3,3,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,21,market,3,will,3,stocks,2
2020,4,10,5,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,5,24,Taiwan,4,high,4,market,4
2020,4,17,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,18,market,2,system,2,capital,2
2020,4,24,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,market,2,funds,1,US,1
2020,5,1,3,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,19,shares,2,will,2,New,2
2020,5,8,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,SMIC,4,shares,4,issuance,4
2020,5,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,market,1,US,1,stocks,1
2020,5,22,6,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,6,24,market,4,also,4,will,3
2020,5,29,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,25,market,4,Kong,2,people,2
2020,6,5,8,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,11,Shanghai,8,day,8,high,8
2020,6,12,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,18,stocks,1,points,1,Kong,1
2020,6,19,3,0,2,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,5,36,market,3,Kong,3,will,3
2020,6,26,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,17,ESG,2,funds,1,more,1
2020,7,3,5,0,3,8,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,8,46,price,4,Meat,3,Beyond,3
2020,7,10,13,0,4,17,2,0,0,0,2,0,0,1,0,0,0,0,8,0,0,0,0,2,0,2,17,60,market,14,Kong,13,stocks,10
2020,7,17,24,0,11,35,3,0,1,3,1,0,0,1,1,1,0,0,0,0,13,0,0,7,0,4,35,102,market,27,stocks,24,Kong,20
2020,7,24,15,0,7,22,6,0,0,2,0,0,0,3,0,1,0,0,2,0,0,0,1,7,0,0,22,108,stocks,11,market,10,Kong,9
2020,7,31,16,0,4,20,3,0,0,1,1,0,0,0,0,0,0,0,5,0,3,3,0,4,0,0,20,85,Kong,8,yuan,6,price,6
2020,8,7,5,0,0,5,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,29,stocks,5,market,3,will,3
2020,8,14,5,0,2,7,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,40,yuan,4,announced,3,significant,3
2020,8,21,136,0,7,143,7,0,9,18,9,0,5,3,0,4,0,0,27,10,21,2,21,7,0,0,143,183,market,88,Kong,88,stocks,78
2020,8,28,5,0,3,8,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,8,41,stocks,5,will,5,market,4
2020,9,4,9,0,0,9,3,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,53,stocks,4,will,3,price,3
2020,9,11,18,0,4,22,1,0,2,1,0,0,0,0,0,2,0,0,0,0,12,0,0,3,0,1,22,67,tit,12,vaccine,12,new,12
2020,9,18,2,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,5,41,Beyond,2,Meat,2,points,2
2020,9,25,2,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,25,will,2,yuan,2,Huang,1
2020,10,2,9,0,1,10,3,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,10,44,yuan,5,will,4,price,4
2020,10,9,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,26,ESG,2,hand,1,CB,1
2020,10,16,66,0,8,74,11,0,1,3,1,0,11,4,0,2,0,0,0,0,0,0,33,7,0,1,74,155,stocks,54,market,42,reported,27
2020,10,23,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,18,vaccine,1,needle,1,citizen,1
2020,10,30,8,0,3,11,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,11,57,year,5,interest,4,investment,4
2020,11,6,6,0,1,7,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,27,Kong,6,will,6,Observatory,5
2020,11,13,10,0,1,11,0,0,1,0,2,0,0,2,1,0,0,0,0,0,1,0,3,1,0,0,11,65,new,4,will,4,table,3
