pubdate,non_view_engagements,comment_count,like_count,dislike_count,love_count,haha_count,wow_count,angry_count,sad_count,share_count,view_count,emoji_count,fans_count,sentiment_label_headline_negative,sentiment_label_headline_neutral,sentiment_label_headline_positive,sentiment_label_content_negative,sentiment_label_content_neutral,sentiment_label_content_positive,ESG_label_headline_Business Ethics & Values,ESG_label_headline_Climate Change,ESG_label_headline_Community Relations,ESG_label_headline_Corporate Governance,ESG_label_headline_Human Capital,ESG_label_headline_Natural Capital,ESG_label_headline_Non-ESG,ESG_label_headline_Pollution & Waste,ESG_label_headline_Product Liability,ESG_label_content_Business Ethics & Values,ESG_label_content_Climate Change,ESG_label_content_Community Relations,ESG_label_content_Corporate Governance,ESG_label_content_Human Capital,ESG_label_content_Natural Capital,ESG_label_content_Non-ESG,ESG_label_content_Pollution & Waste,ESG_label_content_Product Liability
2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,5.0,9.0,7.0,9.0,6.0,0.0,7.0,2.0,0.0,4.0,0.0,2.0,4.0,0.0,5.0,16.0,2.0,0.0,0.0,0.0,2.0,0.0
2020-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,16.0,18.0,20.0,24.0,0.0,7.0,24.0,2.0,1.0,27.0,0.0,1.0,0.0,0.0,15.0,21.0,2.0,1.0,22.0,0.0,1.0,0.0
2020-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,43.0,30.0,26.0,35.0,31.0,0.0,15.0,43.0,1.0,2.0,19.0,8.0,4.0,0.0,0.0,21.0,43.0,0.0,4.0,17.0,1.0,6.0,0.0
2020-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,11.0,27.0,22.0,14.0,0.0,10.0,38.0,6.0,0.0,8.0,1.0,0.0,0.0,0.0,7.0,33.0,6.0,0.0,16.0,1.0,0.0,0.0
2020-01-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,11.0,14.0,18.0,12.0,0.0,6.0,22.0,0.0,3.0,11.0,0.0,2.0,0.0,0.0,3.0,23.0,4.0,1.0,9.0,0.0,4.0,0.0
2020-01-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,10.0,8.0,19.0,9.0,0.0,7.0,11.0,3.0,1.0,9.0,5.0,0.0,0.0,0.0,8.0,15.0,1.0,1.0,6.0,5.0,0.0,0.0
2020-01-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,22.0,10.0,42.0,19.0,0.0,20.0,25.0,2.0,1.0,16.0,6.0,1.0,0.0,0.0,21.0,31.0,2.0,1.0,15.0,0.0,1.0,0.0
2020-01-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,41.0,6.0,29.0,39.0,0.0,11.0,26.0,8.0,2.0,10.0,11.0,2.0,4.0,0.0,14.0,22.0,11.0,6.0,11.0,2.0,3.0,5.0
2020-01-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,33.0,16.0,27.0,34.0,0.0,7.0,35.0,2.0,3.0,14.0,4.0,9.0,3.0,0.0,9.0,22.0,2.0,2.0,29.0,1.0,9.0,3.0
2020-01-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,3.0,1.0,37.0,3.0,5.0,18.0,8.0,0.0,3.0,2.0,2.0,2.0,1.0,3.0,18.0,9.0,3.0,5.0,1.0,0.0,2.0,0.0
2020-01-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,11.0,0.0,3.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-01-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,2.0,14.0,16.0,10.0,0.0,11.0,22.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-01-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,85.0,31.0,7.0,71.0,46.0,6.0,23.0,59.0,2.0,17.0,4.0,9.0,3.0,1.0,6.0,8.0,56.0,2.0,19.0,6.0,8.0,17.0,2.0
2020-01-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,45.0,21.0,13.0,43.0,24.0,1.0,17.0,19.0,15.0,0.0,17.0,2.0,5.0,4.0,1.0,18.0,21.0,15.0,0.0,12.0,5.0,7.0,1.0
2020-01-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,48.0,29.0,17.0,48.0,30.0,0.0,32.0,40.0,2.0,4.0,9.0,5.0,3.0,0.0,0.0,30.0,45.0,4.0,3.0,9.0,0.0,4.0,0.0
2020-01-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,55.0,21.0,11.0,61.0,23.0,0.0,10.0,36.0,10.0,0.0,30.0,4.0,1.0,4.0,0.0,3.0,29.0,10.0,6.0,44.0,3.0,0.0,0.0
2020-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,51.0,28.0,18.0,48.0,27.0,0.0,20.0,34.0,14.0,0.0,22.0,0.0,3.0,0.0,0.0,18.0,29.0,14.0,0.0,28.0,0.0,3.0,1.0
2020-01-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,5.0,8.0,14.0,4.0,0.0,5.0,4.0,4.0,0.0,11.0,0.0,0.0,2.0,0.0,4.0,4.0,3.0,1.0,14.0,0.0,0.0,0.0
2020-01-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,10.0,5.0,24.0,10.0,0.0,4.0,28.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,2.0,9.0,1.0,0.0,0.0
2020-01-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,51.0,7.0,18.0,47.0,9.0,3.0,13.0,36.0,3.0,2.0,9.0,1.0,7.0,0.0,3.0,13.0,39.0,3.0,2.0,8.0,0.0,5.0,1.0
2020-01-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,124.0,16.0,4.0,139.0,12.0,0.0,14.0,97.0,3.0,2.0,5.0,22.0,4.0,8.0,0.0,13.0,37.0,3.0,1.0,5.0,86.0,3.0,7.0
2020-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,40.0,10.0,15.0,35.0,7.0,5.0,14.0,15.0,1.0,3.0,1.0,8.0,9.0,1.0,0.0,14.0,19.0,3.0,2.0,8.0,2.0,8.0,1.0
2020-01-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,34.0,6.0,7.0,32.0,8.0,1.0,2.0,20.0,15.0,3.0,2.0,2.0,1.0,1.0,0.0,6.0,12.0,18.0,2.0,2.0,3.0,3.0,1.0
2020-01-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,16.0,1.0,31.0,7.0,0.0,3.0,15.0,6.0,2.0,8.0,0.0,1.0,4.0,0.0,4.0,14.0,6.0,2.0,10.0,0.0,1.0,2.0
2020-01-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,7.0,1.0,17.0,6.0,0.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0
2020-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,10.0,16.0,24.0,10.0,0.0,7.0,20.0,0.0,9.0,9.0,0.0,0.0,5.0,0.0,6.0,17.0,0.0,7.0,20.0,0.0,0.0,0.0
2020-01-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,3.0,19.0,4.0,0.0,1.0,8.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,2.0,12.0,1.0,0.0,0.0
2020-01-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,13.0,4.0,0.0,1.0,1.0,0.0,0.0,10.0,5.0,0.0,2.0,0.0,7.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0
2020-01-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,11.0,0.0,12.0,5.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,2.0
2020-01-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,10.0,3.0,14.0,7.0,0.0,4.0,9.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0,7.0,9.0,3.0,0.0,4.0,0.0,1.0,0.0
2020-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,10.0,4.0,24.0,8.0,0.0,3.0,15.0,3.0,4.0,1.0,4.0,3.0,3.0,0.0,4.0,18.0,2.0,6.0,2.0,0.0,2.0,2.0
2020-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,2.0,7.0,22.0,2.0,0.0,4.0,19.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,12.0,0.0,10.0,5.0,0.0,3.0,0.0
